Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada,season_weight,Home Win Ratio,Home Tie Ratio,Home Loss Ratio,Away Win Ratio,Away Tie Ratio,Away Loss Ratio
2,Arsenal,19,14,3,2,53,25,28,45,2.37,42.5,19.2,23.3,+1.23,19,12,3,4,35,18,17,39,2.05,29.1,22.7,6.400000000000002,+0.34,Premier leaqgue,2022/2023,1.0,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.631578947368421,0.15789473684210525,0.21052631578947367
3,Manchester Utd,19,15,3,1,36,10,26,48,2.53,40.9,19.4,21.5,+1.13,19,8,3,8,22,33,-11,27,1.42,26.7,31.0,-4.300000000000001,-0.22,Premier leaqgue,2022/2023,1.0,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.42105263157894735,0.15789473684210525,0.42105263157894735
4,Newcastle Utd,19,11,6,2,36,14,22,39,2.05,43.3,15.6,27.699999999999996,+1.46,19,8,8,3,32,19,13,32,1.68,28.6,23.9,4.700000000000003,+0.25,Premier leaqgue,2022/2023,1.0,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.42105263157894735,0.42105263157894735,0.15789473684210525
5,Liverpool,19,13,5,1,46,17,29,44,2.32,40.6,20.2,20.400000000000002,+1.07,19,6,5,8,29,30,-1,23,1.21,30.9,30.5,0.3999999999999986,+0.02,Premier leaqgue,2022/2023,1.0,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.42105263157894735
6,Brighton,19,10,4,5,37,21,16,34,1.79,40.7,22.6,18.1,+0.95,19,8,4,7,35,32,3,28,1.47,32.6,27.5,5.100000000000001,+0.27,Premier leaqgue,2022/2023,1.0,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.21052631578947367,0.3684210526315789
7,Aston Villa,19,12,2,5,33,21,12,38,2.00,29.3,23.7,5.600000000000001,+0.30,19,6,5,8,18,25,-7,23,1.21,20.9,28.8,-7.900000000000002,-0.41,Premier leaqgue,2022/2023,1.0,0.631578947368421,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.42105263157894735
8,Tottenham,19,12,1,6,37,25,12,37,1.95,31.1,20.5,10.600000000000001,+0.56,19,6,5,8,33,38,-5,23,1.21,25.9,29.1,-3.200000000000003,-0.17,Premier leaqgue,2022/2023,1.0,0.631578947368421,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.42105263157894735
9,Brentford,19,10,7,2,35,18,17,37,1.95,32.8,20.9,11.899999999999999,+0.62,19,5,7,7,23,28,-5,22,1.16,23.5,27.8,-4.300000000000001,-0.23,Premier leaqgue,2022/2023,1.0,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.3684210526315789,0.3684210526315789
10,Fulham,19,8,5,6,31,29,2,29,1.53,24.3,29.7,-5.399999999999999,-0.29,19,7,2,10,24,24,0,23,1.21,21.9,33.9,-12.0,-0.63,Premier leaqgue,2022/2023,1.0,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.10526315789473684,0.5263157894736842
11,Crystal Palace,19,7,7,5,21,23,-2,28,1.47,20.3,23.2,-2.8999999999999986,-0.15,19,4,5,10,19,26,-7,17,0.89,18.9,24.8,-5.900000000000002,-0.31,Premier leaqgue,2022/2023,1.0,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.5263157894736842
12,Chelsea,19,6,7,6,20,19,1,25,1.32,27.3,23.7,3.6000000000000014,+0.19,19,5,4,10,18,28,-10,19,1.00,22.1,28.8,-6.699999999999999,-0.35,Premier leaqgue,2022/2023,1.0,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.5263157894736842
13,Wolves,19,9,3,7,19,20,-1,30,1.58,21.1,26.5,-5.399999999999999,-0.29,19,2,5,12,12,38,-26,11,0.58,15.7,33.3,-17.599999999999998,-0.93,Premier leaqgue,2022/2023,1.0,0.47368421052631576,0.15789473684210525,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.631578947368421
14,West Ham,19,8,4,7,26,24,2,28,1.47,27.3,24.5,2.8000000000000007,+0.15,19,3,3,13,16,31,-15,12,0.63,21.8,28.5,-6.699999999999999,-0.35,Premier leaqgue,2022/2023,1.0,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.6842105263157895
15,Bournemouth,19,6,4,9,20,28,-8,22,1.16,22.1,28.4,-6.299999999999997,-0.33,19,5,2,12,17,43,-26,17,0.89,16.3,35.3,-18.999999999999996,-1.00,Premier leaqgue,2022/2023,1.0,0.3157894736842105,0.21052631578947367,0.47368421052631576,0.2631578947368421,0.10526315789473684,0.631578947368421
16,Nott'ham Forest,19,8,6,5,27,24,3,30,1.58,23.3,30.5,-7.199999999999999,-0.38,19,1,5,13,11,44,-33,8,0.42,16.0,33.7,-17.700000000000003,-0.93,Premier leaqgue,2022/2023,1.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.6842105263157895
17,Everton,19,6,3,10,16,27,-11,21,1.11,23.4,26.7,-3.3000000000000007,-0.17,19,2,9,8,18,30,-12,15,0.79,21.7,38.8,-17.099999999999998,-0.90,Premier leaqgue,2022/2023,1.0,0.3157894736842105,0.15789473684210525,0.5263157894736842,0.10526315789473684,0.47368421052631576,0.42105263157894735
18,Leicester City,19,5,4,10,23,27,-4,19,1.00,21.3,26.3,-5.0,-0.26,19,4,3,12,28,41,-13,15,0.79,29.2,36.9,-7.699999999999999,-0.41,Premier leaqgue,2022/2023,1.0,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.21052631578947367,0.15789473684210525,0.631578947368421
19,Leeds United,19,5,7,7,26,37,-11,22,1.16,25.2,32.7,-7.5000000000000036,-0.40,19,2,3,14,22,41,-19,9,0.47,22.1,34.4,-12.299999999999997,-0.64,Premier leaqgue,2022/2023,1.0,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.10526315789473684,0.15789473684210525,0.7368421052631579
20,Southampton,19,2,5,12,19,37,-18,11,0.58,20.5,29.8,-9.3,-0.49,19,4,2,13,17,36,-19,14,0.74,17.3,31.1,-13.8,-0.73,Premier leaqgue,2022/2023,1.0,0.10526315789473684,0.2631578947368421,0.631578947368421,0.21052631578947367,0.10526315789473684,0.6842105263157895
1,Manchester City,19,15,2,2,58,15,43,47,2.47,45.6,11.4,34.2,+1.80,19,14,4,1,41,11,30,46,2.42,43.1,13.2,29.900000000000002,+1.57,Premier leaqgue,2021/2022,0.75,0.7894736842105263,0.10526315789473684,0.10526315789473684,0.7368421052631579,0.21052631578947367,0.05263157894736842
2,Liverpool,19,15,4,0,49,9,40,49,2.58,48.9,12.8,36.099999999999994,+1.90,19,13,4,2,45,17,28,43,2.26,39.8,20.9,18.9,+0.99,Premier leaqgue,2021/2022,0.75,0.7894736842105263,0.21052631578947367,0.0,0.6842105263157895,0.21052631578947367,0.10526315789473684
3,Chelsea,19,9,7,3,37,22,15,34,1.79,33.2,18.2,15.000000000000004,+0.79,19,12,4,3,39,11,28,40,2.11,30.1,15.1,15.000000000000002,+0.79,Premier leaqgue,2021/2022,0.75,0.47368421052631576,0.3684210526315789,0.15789473684210525,0.631578947368421,0.21052631578947367,0.15789473684210525
4,Tottenham,19,13,1,5,38,19,19,40,2.11,33.6,18.7,14.900000000000002,+0.78,19,9,4,6,31,21,10,31,1.63,27.7,20.6,7.099999999999998,+0.37,Premier leaqgue,2021/2022,0.75,0.6842105263157895,0.05263157894736842,0.2631578947368421,0.47368421052631576,0.21052631578947367,0.3157894736842105
5,Arsenal,19,13,2,4,35,17,18,41,2.16,37.4,17.7,19.7,+1.03,19,9,1,9,26,31,-5,28,1.47,23.2,27.9,-4.699999999999999,-0.25,Premier leaqgue,2021/2022,0.75,0.6842105263157895,0.10526315789473684,0.21052631578947367,0.47368421052631576,0.05263157894736842,0.47368421052631576
6,Manchester Utd,19,10,5,4,32,22,10,35,1.84,30.6,20.8,9.8,+0.52,19,6,5,8,25,35,-10,23,1.21,25.1,32.2,-7.100000000000001,-0.37,Premier leaqgue,2021/2022,0.75,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.3157894736842105,0.2631578947368421,0.42105263157894735
